id,selection,dateAdded,quiz_id,question_id,user_id
1,orkxm,6/26/2022,6,268,10
2,dunxi,6/2/2022,2,212,10
3,gwzkb,1/28/2023,15,71,10
4,bshic,2/28/2023,20,179,8
5,whsrr,12/3/2022,18,115,2
6,jvimq,12/29/2022,23,143,3
7,kdufd,6/29/2022,4,252,20
8,unhlj,4/28/2022,1,213,13
9,ezmwh,9/14/2022,13,88,12
10,tzlmw,3/17/2023,3,237,10
11,hlqdn,5/27/2022,26,82,7
12,ueuth,5/11/2022,12,40,4
13,hnesx,10/24/2022,22,255,3
14,lszea,9/15/2022,19,178,19
15,rxlhd,3/9/2023,7,97,15
16,patkw,5/1/2022,9,243,17
17,skgee,4/19/2022,28,98,19
18,uvduw,10/13/2022,5,44,19
19,iqgpf,12/10/2022,17,62,11
20,uxzoc,10/20/2022,30,6,19
21,czerg,10/25/2022,29,299,18
22,epkjf,3/15/2023,10,214,19
23,xtpdg,8/10/2022,11,9,2
24,mjwoa,2/11/2023,8,258,12
25,csqxz,7/13/2022,16,151,6
26,crlyg,9/3/2022,27,292,20
27,vhjdl,4/29/2022,21,285,18
28,wdsvv,10/29/2022,25,140,7
29,gssep,12/2/2022,14,227,15
30,xnafk,9/25/2022,24,215,3
31,xpgpj,3/24/2023,19,103,7
32,setbk,11/17/2022,22,73,14
33,bdryj,9/28/2022,11,269,16
34,wzmvs,7/18/2022,10,90,9
35,xjtks,10/26/2022,13,77,20
36,xbqjy,7/24/2022,18,284,2
37,ajiph,6/11/2022,26,139,13
38,omyso,11/15/2022,29,281,19
39,hhtmk,5/30/2022,25,69,6
40,wgtmt,3/7/2023,24,206,9
41,ihcyu,1/20/2023,6,172,11
42,wbxzs,11/6/2022,23,272,8
43,tuzmm,3/7/2023,27,113,16
44,pxmce,1/26/2023,28,170,17
45,xkfmo,7/3/2022,5,197,1
46,wckmc,7/10/2022,16,254,16
47,nfwav,10/10/2022,20,107,5
48,bddum,11/25/2022,2,168,16
49,ktcne,12/4/2022,9,35,2
50,qnigp,2/4/2023,30,232,9
51,vowsa,12/31/2022,6,292,5
52,enhdz,6/4/2022,11,231,4
53,auqoj,3/16/2023,5,112,18
54,jsdli,10/16/2022,24,96,19
55,kluss,12/10/2022,25,152,12
56,ejnfq,12/24/2022,15,280,1
57,keibm,3/3/2023,27,211,10
58,bghxb,12/12/2022,18,6,19
59,dkbin,6/26/2022,8,67,11
60,fyykj,6/22/2022,17,267,14
61,uivvs,2/1/2023,10,132,6
62,ouxgm,5/24/2022,23,33,14
63,jnmqx,10/6/2022,30,156,19
64,oelbc,2/13/2023,12,91,12
65,xzqpb,11/5/2022,28,193,8
66,ayffc,3/14/2023,26,203,13
67,fmozo,7/11/2022,19,23,5
68,mtiwx,2/13/2023,13,69,5
69,mmxak,1/17/2023,2,106,1
70,xdovq,1/1/2023,3,20,7
71,kbjzg,11/14/2022,4,64,4
72,jxwfb,1/13/2023,14,27,17
73,ltffm,4/3/2023,20,216,6
74,ytkga,7/9/2022,7,173,12
75,sokai,4/23/2022,29,179,15
76,pfbwo,1/17/2023,16,180,19
77,hqipj,10/11/2022,9,218,5
78,ybsip,9/20/2022,22,46,7
79,cbcam,3/26/2023,21,190,3
80,ojwwc,8/23/2022,1,37,7
81,tqsix,1/29/2023,13,146,18
82,klhaw,4/17/2022,20,253,3
